Ministry,Subcategory,LineItem,amount_thousand_isk,Year,normalized_category,amount_million_isk
,,=== PAGE 1 ===,1.0,2009,Misc/Missing,0.001
,,SÖLVHÓLSGÖTU 7 * 150 REYKJAVÍK RÍKISINS,150.0,2009,Misc/Missing,0.15
,,SÍMI 545 7500 * FAX 562 6383,562.0,2009,Misc/Missing,0.562
,,=== PAGE 2 ===,2.0,2009,Misc/Missing,0.002
,,=== PAGE 3 ===,3.0,2009,Misc/Missing,0.003
,,ISBN 9979-890-30-4,4.0,2009,Misc/Missing,0.004
,,=== PAGE 4 ===,4.0,2009,Misc/Missing,0.004
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,Uppgjör og afkoma ríkissjóðs 2009 7 39. Fjármagnskostnaður 70,70.0,2009,nan,0.07
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,Áritun fjármálaráðherra og fjársýslustjóra 13 40. Hlutabréf og eignarhlutir í fyrirtækjum 7,7.0,2009,nan,0.007
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,Áritun ríkisendurskoðanda 15 41. Erlent stofnfé 73,73.0,2009,nan,0.073
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,Yfirlitsreikningur A-hluta ríkissjóðs 17 42. Veitt löng lán 73,73.0,2009,nan,0.073
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,Rekstrarreikningur 18 43. Vöru- og efnisbirgðir 74,74.0,2009,nan,0.074
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,Efnahagsreikningur 19 44. Óinnheimtar ríkistekjur 74,74.0,2009,nan,0.074
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,"Sjóðstreymi 20 45. Skammtímakröfur, aðrar 75",75.0,2009,nan,0.075
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,"46. Handbært fé, nettó 75",75.0,2009,nan,0.075
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,Skýringar með reikningi A-hluta ríkissjóðs 21 47. Eigið fé 76,76.0,2009,nan,0.076
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,48. Lífeyrisskuldbindingar 78,78.0,2009,nan,0.078
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,"1. Ríkisreikningur og reikningsskilareglur ríkisaðila 23 49. Áfallnir ógjaldfallnir vextir, langtímaskuldir 79",79.0,2009,nan,0.079
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,2. Tekjujöfnuður og lánsfjárþörf A-hluta ríkissjóðs 26 50. Tekin löng lán 80,80.0,2009,nan,0.08
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,3. Tekjur A-hluta ríkissjóðs 27 51. Krafa á ríkistekjur 81,81.0,2009,nan,0.081
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,"4. Skattar á tekjur og hagnað, einstaklingar 30 52. Ógreidd gjöld (án vaxta) 82",82.0,2009,nan,0.082
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,"5. Skattar á tekjur og hagnað, lögaðilar 31 53. Áfallnir ógjaldfallnir vextir, skammtímaskuldir 82",82.0,2009,nan,0.082
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,6. Skattur á fjármagnstekjur 31 54. Tekin stutt lán 83,83.0,2009,nan,0.083
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,7. Skattar á launagreiðslur og vinnuafl 32 55. Aðrar skammtímaskuldir 83,83.0,2009,nan,0.083
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,8. Eignarskattar 33,33.0,2009,nan,0.033
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,9. Virðisaukaskattur 34 Séryfirlit A-hluta ríkissjóðs 85,85.0,2009,nan,0.085
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,10. Vörugjöld 35,35.0,2009,nan,0.035
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,11. Sértækir þjónustuskattar 36 1. Tekjur ríkissjóðs — sundurliðun 87,87.0,2009,nan,0.087
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,12. Neyslu- og leyfisskattar 37 2. Gjöld ráðuneyta og stofnana 91,91.0,2009,nan,0.091
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,13. Skattar á alþjóðaverslun og viðskipti 38 3. Útkoma ráðuneyta og stofnana gagnvart fjárheimildum 102,102.0,2009,nan,0.102
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,14. Aðrir skattar 38 4. Tekjur ráðuneyta og stofnana 113,113.0,2009,nan,0.113
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,15. Tryggingagjöld 39 5. Heildarfjárheimildir ársins hjá ráðuneytum og stofnunum 121,121.0,2009,nan,0.121
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,16. Fjárframlög 40 6. Millifærslur fjárheimilda innan A-hluta 131,131.0,2009,nan,0.131
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,17. Vaxtatekjur 41 7. Skattastyrkir eftir skatttegundum 149,149.0,2009,nan,0.149
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,18. Arögreiðslur 42 8. Skattastyrkir eftir málaflokkum 150,150.0,2009,nan,0.15
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,19. Ýmsar eignatekjur 42 9. Markaðar tekjur rétthafa 151,151.0,2009,nan,0.151
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,20. Neyslu- og leyfisgjöld 43 10. Sala efnislegra eigna 155,155.0,2009,nan,0.155
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,21. Sektir og skaðabætur 44 11. Veitt og tekin lán A-hluta 156,156.0,2009,nan,0.156
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,22. Ýmsar tekjur 45 12. Spariskírteini ríkissjóðs. 157,157.0,2009,nan,0.157
