Ministry,Subcategory,LineItem,Amount_thousands_ISK,Year,normalized_category
,,=== PAGE 1 ===,1.0,2007,
,,SÖLVHÓLSGÖTU 7 * 150 REYKJAVÍK,150.0,2007,
,,SÍMI 545 7500 * FAX 562 6383,562.0,2007,
,,=== PAGE 2 ===,2.0,2007,
,,=== PAGE 3 ===,3.0,2007,
,,ISBN 9979-890-23-1,1.0,2007,
,,=== PAGE 4 ===,4.0,2007,
38. Gjöld viðskiptaráðuneytis 62,,39. Gjöld Hagstofu Íslands 63,63.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,Inngangsorð fjármálaráðherra 5 41. Fjármagnskostnaður 65,65.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,Uppgjör og afkoma ríkissjóðs 2007 7 42. Hlutabréf og eignarhlutir í fyrirtækjum 66,66.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,Áritun fjármálaráðherra og fjársýslustjóra 13 43. Erlent stofnfé 68,68.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,Áritun ríkisendurskoðanda 15 44. Veitt löng lán 68,68.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,Yfirlitsreikningur A-hluta ríkissjóðs 17 45. Vöru- og efnisbirgðir 69,69.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,Rekstrarreikningur 18 46. Óinnheimtar ríkistekjur 69,69.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,"Efnahagsteikningur 19 47. Skammtímakröfur, aðrar 70",70.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,"Sjóðstreymi 20 48. Handbært fé, nettó 70",70.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,49. Eigið fé 71,71.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,Skýringar með reikningi A-hluta ríkissjóðs 21 50. Lífeyrisskuldbindingar 73,73.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,"51. Áfallnir ógjaldfallnir vextir, langtímaskuldir 74",74.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,1. Ríkisteikningur og reikningsskilareglur ríkisaðila 23 52. Tekin löng lán 75,75.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,2. Tekjujöfnuður og lánsfjárþörf A-hluta ríkissjóðs 25 53. Krafa á ríkistekjur 76,76.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,3. Tekjur A-hluta ríkissjóðs 26 54. Ógreidd gjöld (án vaxta) 77,77.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,"4. Skattar á tekjur og hagnað, einstaklingar 29 55. Áfallnir ógjaldfallnir vextir, skammtímaskuldir 77",77.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,"5. Skattar á tekjur og hagnað, lögaðilar 30 56. Tekin stutt lán 77",77.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,6. Skattur á fjármagnstekjur 30 57. Aðrar skammtímaskuldir 78,78.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,7. Skattar á launagreiðslur og vinnuafl 31,31.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,8. Eignarskattar 31 Séryfirlit A-hluta ríkissjóðs 79,79.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,9. Virðisaukaskattur 32,32.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,10. Vörugjöld 33 1. Tekjur ríkissjóðs — sundurliðun 81,81.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,11. Sértækir þjónustuskattar 34 2. Gjöld ráðuneyta og stofnana 85,85.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,12. Neyslu- og leyfisskattar 34 3. Útkoma ráðuneyta og stofnana gagnvart fjárheimildum 96,96.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,13. Skattar á alþjóðaverslun og viðskipti 35 4. Tekjur ráðuneyta og stofnana 106,106.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,14. Aðrir skattar 35 5. Heildarfjárheimildir ársins hjá ráðuneytum og stofnunum 114,114.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,15. Tryggingagjöld 36 6. Millifærslur fjárheimilda innan A-hluta 124,124.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,16. Fjárframlög 37 7. Skattastyrkir eftir skatttegundum 135,135.0,2007,
Bls. 40. Gjöld umhverfisráðuneytis 64,,17. Vaxtatekjur 37 8. Skattastyrkir eftir málaflokkum 136,136.0,2007,
