Ministry,Subcategory,LineItem,Amount_thousands_ISK,Year,normalized_category
,,=== PAGE 1 ===,1.0,2016,Misc/Missing
,,=== PAGE 2 ===,2.0,2016,Misc/Missing
,,=== PAGE 3 ===,3.0,2016,Misc/Missing
,,=== PAGE 4 ===,4.0,2016,Misc/Missing
,,0 talan er minni en helmingur þeirrar einingar sem notuð er,0.0,2016,Misc/Missing
,,=== PAGE 5 ===,5.0,2016,Misc/Missing
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,35. Fjármagnskostnaður 73,73.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,36. Hlutabréf og eignarhlutir í fyrirtækjum 74,74.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,Bis. 37. Erlent stofnfé 77,77.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,Inngangsorð fjármála- og efnahagsráðherra 5 38. Veitt löng lán 78,78.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,Uppgjör og afkoma ríkissjóðs 2016 7 39. Vöru- og efnisbirgðir 79,79.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,Áritun fjármála- og efnahagsráðherra og fjársýslustjóra 17 40. Óinnheimtar ríkistekjur 80,80.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,Áritun ríkisendurskoðanda 19 41. Veitt stutt lán og aðrar skammtímakröfur 81,81.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,"Yfirlitsreikningur A-hluta ríkissjóðs 21 42. Handbært fé, nettó 82",82.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,Rekstrarreikningur 22 43. Eigið fé 83,83.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,Efnahagsteikningur 23 44. Lífeyrisskuldbindingar 86,86.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,Sjóðstreymi 24 45. Tekin löng lán 89,89.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,46. Krafa á ríkistekjur 91,91.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,Skýringar með reikningi A-hluta ríkissjóðs 25 47. Ógreidd gjöld (án vaxta) 92,92.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,"48. Áfallnir ógjaldfallnir vextir, skammtímaskuldir 93",93.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,1. Ríkisteikningur og reikningsskilareglur ríkisaðila 27 49. Tekin stutt lán 93,93.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,2. Tekjujöfnuður og lánsfjárþörf A-hluta ríkissjóðs 30 50. Aðrar skammtímaskuldir 94,94.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,3. Tekjur A-hluta ríkissjóðs 31 51. Stöðugleikaeignir 95,95.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,"4. Skattar á tekjur og hagnað, einstaklingar 34",34.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,"5. Skattar á tekjur og hagnað, lögaðilar 35",35.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,6. Skattur á fjármagnstekjur 36 Séryfirlit A-hluta ríkissjóðs 97,97.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,7. Skattar á launagreiðslur og vinnuafl 37,37.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,8. Eignarskattar 38 1. Tekjur ríkissjóðs — sundurliðun 99,99.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,9. Virðisaukaskattur 39 2. Gjöld ráðuneyta og stofnana 104,104.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,10. Vörugjöld 40 3. Útkoma ráðuneyta og stofnana gagnvart fjárheimildum 114,114.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,11. Sértækir þjónustuskattar 42 4. Tekjur ráðuneyta og stofnana 124,124.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,12. Neyslu- og leyfisskattar 42 5. Heildarfjárheimildir ársins hjá ráðuneytum og stofnunum 130,130.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,13. Skattar á alþjóðaverslun og viðskipti 43 6. Millifærslur fjárheimilda innan A-hluta 138,138.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,14. Aðrir skattar 44 7. Skattastyrkir eftir skatttegundum 145,145.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,15. Tryggingagjöld 45 8. Skattastyrkir eftir málaflokkum 146,146.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,16. Fjárframlög 46 9. Markaðar tekjur rétthafa 147,147.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,17. Vaxtatekjur 47 10. Sala efnislegra eigna 150,150.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,18. Arðgreiðslur 48 11. Veitt og tekin lán A-hluta 151,151.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,"19. Ýmsar eignatekjur 49 12. Ríkisbréf, verðtryggð. 153",153.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,"20. Neyslu- og leyfisgjöld 50 13. Ríkisbréf, óverðtryggð í árslok 2015 og 2016. 154",154.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,21. Sektir og skaðabætur 51 14. Lánaendurgreiðslur út lánstímann 155,155.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,22. Ýmsar tekjur 52 15. Upplýsingar úr eignaská ríkisins 156,156.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,23. Sala efnislegra eigna 53 16. Skuldbindandi langtímasamningar 157,157.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,24. Tekjur af peningalegum eignum 53,53.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,25. Gjöld A-hluta ríkissjóðs 54,54.0,2016,nan
34. Gjöld umhverfis- og auðlindaráðuneytis 72,,26. Gjöld æðstu stjórnar ríkisins 59 Lykiltölur úr ársreikningum ríkisaðila utan A-hluta 169,169.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,,=== PAGE 6 ===,6.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,,=== PAGE 7 ===,7.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,"Helstu niðurstöður ríkisreiknings fyrir 2016 eru að tekjujöfnuður ársins var jákvæður um 294,6 ma.kr. samanborið við jákvæðan 20,0 ma.kr.",20.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,"málafyrirtækja, sem skiluðu nettó tekjum uppá 414,6 ma.kr. Gjöld voru talsvert umfram heimildir fjárlaga, en í fjáraukalögum voru stórhækkuð",414.6,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,réttindum allra landsmanna náðist með samþykkt laga nr. 127 29. desember 2016 um breytingu á lögum nr. 1 1997 um Lífeyrissjóð starfs-,1.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,manna ríkisins. Ávinnsla lífeyrisréttinda breytist úr jafnri ávinnslu í aldurstengda ávinnslu og lífeyristökualdurinn er hækkaður úr 65 árum í 67,67.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,gildir gagnvart starfsmönnum sem hefja störf eftir 1. júní 2017.,1.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,"Frumjöfnuður ríkissjóðs var jákvæður um 14,5% af vergri landsframleiðslu (VLF) á árinu 2016 á móti 3,8% árið 2015. Án stöðugleikaframlaga",3.8,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,"var frumjöfnuðurinn neikvæður um 2,7% af VLF. Á árinu 2016 var ríkissjóður með hreinan lánsfjárafgang sem nam um 3,9% af VLF, samanborið",3.9,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,"við 1,9% lánsfjárafgang árið áður. Þetta var betri niðurstaða en gert hafði verið ráð fyrir. Í fjárlögum var hreinn lánsfjárafgangur áætlaður 2,6% af",2.6,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,"VLF en með breytingu í fjáraukalögum var áætluð hrein lánsfjárþörf upp á 2,7% af landsframleiðslu.",2.7,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,ðe Jb —,=== PAGE 8 ===,8.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,ðe Jb —,=== PAGE 9 ===,9.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2016,Ríkisreikningur er settur fram í samræmi við lög nr. 88/1997 um Afkoma ríkissjóðs,88.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2016,123/2015 tóku gildi í ársbyrjun 2016 en í bráðabirgðaákvæði | í,123.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2016,"veruleg áhrif á tekjur ríkissjóðs en hagvöxtur ársins 2016 nam 7,2%",7.2,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2016,fjárheimildir hjá einstökum liðum. Innbyrðis viðskiptum milli af fjáraukalögum fyrir árið 2016. Yfirlit 1 sýnir fjármál ríkissjóðs,1.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,annarra ríkisaðila.,Yfirlit 1. Fjármál ríkissjóðs 2016 og 2015,1.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,Reikningur Fjárheimildir Fjárlög — Reikningur,Tekjur samtals 1.163.074 1.164.042 -968 1.040.705 686.565,686565.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,Reikningur Fjárheimildir Fjárlög — Reikningur,Gjöld samtals 868.455 853.566 14.889 695.071 666.528,666528.0,2016,nan
33. Gjöld fjármála- og efnahagsráðuneytis 69 að hálfu eða meira Í eigu ríkissjóðs 174,Reikningur Fjárheimildir Fjárlög — Reikningur,Tekjur umfram gjöld 294.619 310.476 -15.857 345.634 20.038,20038.0,2016,nan
