Ministry,Subcategory,LineItem,Amount_thousands_ISK,Year,normalized_category
,,=== PAGE 1 ===,1.0,2015,
,,=== PAGE 2 ===,2.0,2015,
,,=== PAGE 3 ===,3.0,2015,
,,=== PAGE 4 ===,4.0,2015,
,,0 talan er minni en helmingur þeirrar einingar sem notuð er,0.0,2015,
,,8 Umbrot og prentvinnsla: Oddi umhverfisvottuð prentsmiðja,8.0,2015,
,,=== PAGE 5 ===,5.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,35. Fjármagnskostnaður 77,77.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,36. Hlutabréf og eignarhlutir í fyrirtækjum 78,78.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,Bls. 37. Erlent stofnfé 81,81.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,Inngangsorð fjármála- og efnahagsráðherra 5 38. Veitt löng lán 82,82.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,Uppgjör og afkoma ríkissjóðs 2015 7 39. Vöru- og efnisbirgðir 83,83.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,Áritun fjármála- og efnahagsráðherra og fjársýslustjóra 19 40. Óinnheimtar ríkistekjur 84,84.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,Áritun ríkisendurskoðanda 21 41. Veitt stutt lán og aðrar skammtímakröfur 85,85.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,"Yfirlitsreikningur A-hluta ríkissjóðs 23 42. Handbært fé, nettó 86",86.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,Rekstrarreikningur 24 43. Eigið fé 87,87.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,Efnahagsteikningur 25 44. Lífeyrisskuldbindingar 91,91.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,Sjóðstreymi 26 45. Tekin löng lán 94,94.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,46. Krafa á ríkistekjur 96,96.0,2015,
34. Gjöld umhverfis- og auðlindaráðuneytis 76,,Skýringar með reikningi A-hluta ríkissjóðs 27 47. Ógreidd gjöld (án vaxta) 97,97.0,2015,
