Ministry,Subcategory,LineItem,Amount_thousands_ISK,Year,normalized_category
,,=== PAGE 1 ===,1.0,2012,
,,VEGMÚLA 3 * 150 REYKJAVÍK RÍKISINS,150.0,2012,
,,SÍMI 545 7500 * FAX 562 6383,562.0,2012,
,,=== PAGE 2 ===,2.0,2012,
,,=== PAGE 3 ===,3.0,2012,
,,0 talan er minni en helmingur þeirrar einingar sem notuð er,0.0,2012,
,,ISBN 9979-890-36-3,3.0,2012,
,,=== PAGE 4 ===,4.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,35. Fjármagnskostnaður 76,76.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Bls. 36. Hlutabréf og eignarhlutir í fyrirtækjum 77,77.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Inngangsorð fjármála- og efnahagsráðherra 5 37. Erlent stofnfé 79,79.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Uppgjör og afkoma ríkissjóðs 2012 7 38. Veitt löng lán 80,80.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Áritun fjármála- og efnahagsráðherra og fjársýslustjóra 19 39. Vöru- og efnisbirgðir 81,81.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Áritun ríkisendurskoðanda 21 40. Óinnheimtar ríkistekjur 81,81.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"Yfirlitsreikningur A-hluta ríkissjóðs 23 41. Skammtímakröfur, aðrar 82",82.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"Rekstrarreikningur 24 42. Handbært fé, nettó 83",83.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Efnahagsteikningur 25 43. Eigið fé 84,84.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Sjóðstreymi 26 44. Lífeyrisskuldbindingar 87,87.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,45. Tekin löng lán 90,90.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Skýringar með reikningi A-hluta ríkissjóðs 27 46. Krafa á ríkistekjur 91,91.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,47. Ógreidd gjöld (án vaxta) 92,92.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"1. Ríkisteikningur og reikningsskilareglur ríkisaðila 29 48. Áfallnir ógjaldfallnir vextir, skammtímaskuldir 92",92.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,2. Tekjujöfnuður og lánsfjárþörf A-hluta ríkissjóðs 32 49. Tekin stutt lán 93,93.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,3. Tekjur A-hluta ríkissjóðs 33 50. Aðrar skammtímaskuldir 93,93.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"4. Skattar á tekjur og hagnað, einstaklingar 36",36.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"5. Skattar á tekjur og hagnað, lögaðilar 37",37.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,6. Skattur á fjármagnstekjur 37 Séryfirlit A-hluta ríkissjóðs 95,95.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,7. Skattar á launagreiðslur og vinnuafl 38,38.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,8. Eignarskattar 39 1. Tekjur ríkissjóðs — sundurliðun 97,97.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,9. Virðisaukaskattur 40 2. Gjöld ráðuneyta og stofnana 102,102.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,10. Vörugjöld 41 3. Útkoma ráðuneyta og stofnana gagnvart fjárheimildum 112,112.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,11. Sértækir þjónustuskattar 43 4. Tekjur ráðuneyta og stofnana 123,123.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,12. Neyslu- og leyfisskattar 43 5. Heildarfjárheimildir ársins hjá ráðuneytum og stofnunum 130,130.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,13. Skattar á alþjóðaverslun og viðskipti 44 6. Millifærslur fjárheimilda innan A-hluta 139,139.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,14. Aðrir skattar 45 7. Skattastyrkir eftir skatttegundum 147,147.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,15. Tryggingagjöld 46 8. Skattastyrkir eftir málaflokkum 148,148.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,16. Fjárframlög 47 9. Markaðar tekjur rétthafa 149,149.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,17. Vaxtatekjur 47 10. Sala efnislegra eigna 152,152.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,18. Arðgreiðslur 48 11. Veitt og tekin lán A-hluta 153,153.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"19. Ýmsar eignatekjur 49 12. Ríkisbréf, verðtryggð 154",154.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"20. Neyslu- og leyfisgjöld 50 13. Ríkisbréf, óverðtryggð 155",155.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,21. Sektir og skaðabætur 51 14. Lánaendurgreiðslur út lánstímann 156,156.0,2012,
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,22. Ýmsar tekjur 52 15. Eignaskrá ríkisins 157,157.0,2012,
