Ministry,Subcategory,LineItem,Amount_thousands_ISK,Year,normalized_category
,,=== PAGE 1 ===,1.0,2006,
,,=== PAGE 2 ===,2.0,2006,
,,=== PAGE 3 ===,3.0,2006,
,,ISBN 9979-890-20-7,7.0,2006,
,,=== PAGE 4 ===,4.0,2006,
38. Gjöld viðskiptaráðuneytis 65,,Bis. 39. Gjöld Hagstofu Íslands 66,66.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,Uppgjör og afkoma ríkissjóðs 2006 7 41. Fjármagnskostnaður 68,68.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,Áritun fjármálaráðherra og fjársýslustjóra 17 42. Hlutabréf og eignarhlutir í fyrirtækjum 70,70.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,Áritun ríkisendurskoðanda 19 43. Erlent stofnfé 72,72.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,Yfirlitsreikningur A-hluta ríkissjóðs 21 44. Veitt löng lán 72,72.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,Rekstrarreikningur 22 45. Vöru- og efnisbirgðir 73,73.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,Efnahagsteikningur 23 46. Óinnheimtar ríkistekjur 73,73.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,"Sjóðstreymi 24 47. Skammtímakröfur, aðrar 74",74.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,"48. Handbært fé, nettó 74",74.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,Skýringar með reikningi A-hluta ríkissjóðs 25 49. Höfuðstóll 75,75.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,50. Lífeyrisskuldbindingar 77,77.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,"1. Ríkisteikningur og reikningsskilareglur ríkisaðila 27 51. Áfallnir ógjaldfallnir vextir, langtímaskuldir 78",78.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,2. Tekjujöfnuður og lánsfjárþörf A-hluta ríkissjóðs 29 52. Tekin löng lán 78,78.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,3. Tekjur A-hluta ríkissjóðs 30 53. Krafa á ríkistekjur 80,80.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,"4. Skattar á tekjur og hagnað, einstaklingar 32 54. Ógreidd gjöld (án vaxta) 80",80.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,"5. Skattar á tekjur og hagnað, lögaðilar 33 55. Áfallnir ógjaldfallnir vextir, skammtímaskuldir 81",81.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,6. Skattur á fjármagnstekjur 33 56. Tekin stutt lán 81,81.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,7. Skattar á launagreiðslur og vinnuafl 34 57. Aðrar skammtímaskuldir 82,82.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,8. Eignarskattar 34,34.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,9. Virðisaukaskattur 35 Séryfirlit A-hluta ríkissjóðs 83,83.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,10. Vörugjöld 36,36.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,11. Sértækir þjónustuskattar 37 1. Tekjur ríkissjóðs — sundurliðun 85,85.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,12. Neyslu- og leyfisskattar 37 2. Gjöld ráðuneyta og stofnana 89,89.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,13. Skattar á alþjóðaverslun og viðskipti 38 3. Útkoma ráðuneyta og stofnana gagnvart fjárheimildum 100,100.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,14. Aðrir skattar 38 4. Tekjur ráðuneyta og stofnana 110,110.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,15. Tryggingagjöld 39 5. Heildarfjárheimildir ársins hjá ráðuneytum og stofnunum 118,118.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,16. Fjárframlög 40 6. Millifærslur fjárheimilda innan A-hluta 128,128.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,17. Vaxtatekjur 40 7. Skattastyrkir eftir skatttegundum 137,137.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,18. Arögreiðslur 41 8. Skattastyrkir eftir málaflokkum 138,138.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,"19. Aðrar eignatekjur, ótalið annars staðar 41 9. Markaðar tekjur rétthafa 139",139.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,20. Neyslu- og leyfisgjöld 42 10. Sala eigna 143,143.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,21. Sektir og skaðabætur 42 11. Veitt og tekin lán A-hluta 145,145.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,22. Ýmsar tekjur 43 12. Spariskírteini ríkissjóðs 146,146.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,23. Sala efnislegra eigna 43 13. Ríkisbréf 147,147.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,24. Hagnaður af peningalegum eignum 44 14. Eignaskrá ríkisins yfir varanlega rekstrarfjármuni 148,148.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,25. Gjöld A-hluta ríkissjóðs 45,45.0,2006,
Inngangsorð fjármálaráðherra 5 40. Gjöld umhverfisráðuneytis 67,,26. Gjöld æðstu stjórnar ríksins 49 Lykiltölur úr ársreikningum utan A-hluta 151,151.0,2006,
33. Gjöld félagsmálaráðuneytis 56 eða meira Í eigu ríkissjóðs 157,,=== PAGE 5 ===,5.0,2006,
33. Gjöld félagsmálaráðuneytis 56 eða meira Í eigu ríkissjóðs 157,,=== PAGE 6 ===,6.0,2006,
33. Gjöld félagsmálaráðuneytis 56 eða meira Í eigu ríkissjóðs 157,INNGANGSORÐ FJÁRMÁLARÁÐAHERRA,"Undanfarin ár hafa einkennst af miklum umsvifum í efnahagslífinu nema 81 milljarði og hækka um 12,8%, skattar á fyrirtæki nema 32",32.0,2006,
33. Gjöld félagsmálaráðuneytis 56 eða meira Í eigu ríkissjóðs 157,INNGANGSORÐ FJÁRMÁLARÁÐAHERRA,"og hagvexti. Á mælikvarða landsframleiðslunnar mældist hagvöxt- milljörðum og hækka um 38,5% og skattur á fjármagnstekjur eru 24",24.0,2006,
