Ministry,Subcategory,LineItem,amount_thousand_isk,Year,normalized_category,amount_million_isk
,,=== PAGE 1 ===,1.0,2014,Misc/Missing,0.001
,,=== PAGE 2 ===,2.0,2014,Misc/Missing,0.002
,,=== PAGE 3 ===,3.0,2014,Misc/Missing,0.003
,,=== PAGE 4 ===,4.0,2014,Misc/Missing,0.004
,,0 talan er minni en helmingur þeirrar einingar sem notuð er,0.0,2014,Misc/Missing,0.0
,,8 Umbrot og prentvinnsla: Oddi umhverfisvottuð prentsmiðja,8.0,2014,Misc/Missing,0.008
,,=== PAGE 5 ===,5.0,2014,Misc/Missing,0.005
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Bls. 35. Fjármagnskostnaður 76,76.0,2014,nan,0.076
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Inngangsorð fjármála- og efnahagsráðherra 5 36. Hlutabréf og eignarhlutir í fyrirtækjum 77,77.0,2014,nan,0.077
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Uppgjör og afkoma ríkissjóðs 2014 7 37. Erlent stofnfé 80,80.0,2014,nan,0.08
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Afkoma ríkisaðila á árinu 2014 á grunni 38. Veitt löng lán 81,81.0,2014,nan,0.081
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,frumvarps til laga um opinber fjármál 17 39. Vöru- og efnisbirgðir 82,82.0,2014,nan,0.082
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Áritun fjármála- og efnahagsráðherra og fjársýslustjóra 19 40. Óinnheimtar ríkistekjur 83,83.0,2014,nan,0.083
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Áritun ríkisendurskoðanda 21 41. Veitt stutt lán og aðrar skammtímakröfur 84,84.0,2014,nan,0.084
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"Yfirlitsreikningur A-hluta ríkissjóðs 23 42. Handbært fé, nettó 85",85.0,2014,nan,0.085
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Rekstrarreikningur 24 43. Eigið fé 86,86.0,2014,nan,0.086
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Efnahagsteikningur 25 44. Lífeyrisskuldbindingar 90,90.0,2014,nan,0.09
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Sjóðstreymi 26 45. Tekin löng lán 93,93.0,2014,nan,0.093
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,46. Krafa á ríkistekjur 95,95.0,2014,nan,0.095
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,Skýringar með reikningi A-hluta ríkissjóðs 27 47. Ógreidd gjöld (án vaxta) 96,96.0,2014,nan,0.096
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"48. Áfallnir ógjaldfallnir vextir, skammtímaskuldir 97",97.0,2014,nan,0.097
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,1. Ríkisteikningur og reikningsskilareglur ríkisaðila 29 49. Tekin stutt lán 97,97.0,2014,nan,0.097
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,2. Tekjujöfnuður og lánsfjárþörf A-hluta ríkissjóðs 32 50. Aðrar skammtímaskuldir 98,98.0,2014,nan,0.098
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,3. Tekjur A-hluta ríkissjóðs 33,33.0,2014,nan,0.033
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"4. Skattar á tekjur og hagnað, einstaklingar 36",36.0,2014,nan,0.036
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"5. Skattar á tekjur og hagnað, lögaðilar 37 Séryfirlit A-hluta ríkissjóðs 99",99.0,2014,nan,0.099
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,6. Skattur á fjármagnstekjur 38,38.0,2014,nan,0.038
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,7. Skattar á launagreiðslur og vinnuafl 39 1. Tekjur ríkissjóðs — sundurliðun 101,101.0,2014,nan,0.101
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,8. Eignarskattar 39 2. Gjöld ráðuneyta og stofnana 106,106.0,2014,nan,0.106
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,9. Virðisaukaskattur 41 3. Útkoma ráðuneyta og stofnana gagnvart fjárheimildum 116,116.0,2014,nan,0.116
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,10. Vörugjöld 42 4. Tekjur ráðuneyta og stofnana 127,127.0,2014,nan,0.127
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,11. Sértækir þjónustuskattar 43 5. Heildarfjárheimildir ársins hjá ráðuneytum og stofnunum 134,134.0,2014,nan,0.134
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,12. Neyslu- og leyfisskattar 44 6. Millifærslur fjárheimilda innan A-hluta 143,143.0,2014,nan,0.143
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,13. Skattar á alþjóðaverslun og viðskipti 44 7. Skattastyrkir eftir skatttegundum 157,157.0,2014,nan,0.157
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,14. Aðrir skattar 45 8. Skattastyrkir eftir málaflokkum 158,158.0,2014,nan,0.158
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,15. Tryggingagjöld 46 9. Markaðar tekjur rétthafa 159,159.0,2014,nan,0.159
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,16. Fjárframlög 47 10. Sala efnislegra eigna 162,162.0,2014,nan,0.162
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,17. Vaxtatekjur 47 11. Veitt og tekin lán A-hluta 163,163.0,2014,nan,0.163
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"18. Arðgreiðslur 48 12. Ríkisbréf, verðtryggð 165",165.0,2014,nan,0.165
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,"19. Ýmsar eignatekjur 49 13. Ríkisbréf, óverðtryggð 166",166.0,2014,nan,0.166
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,20. Neyslu- og leyfisgjöld 50 14. Lánaendurgreiðslur út lánstímann 167,167.0,2014,nan,0.167
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,21. Sektir og skaðabætur 51 15. Eignaskrá ríkisins 168,168.0,2014,nan,0.168
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,22. Ýmsar tekjur 52 16. Skuldbindandi langtímasamningar 170,170.0,2014,nan,0.17
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,23. Sala efnislegra eigna 53,53.0,2014,nan,0.053
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,24. Tekjur af peningalegum eignum 53 Lykiltölur úr ársreikningum ríkisaðila utan A-hluta 179,179.0,2014,nan,0.179
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,25. Gjöld A-hluta ríkissjóðs 54,54.0,2014,nan,0.054
34. Gjöld umhverfis- og auðlindaráðuneytis 75,,26. Gjöld æðstu stjórnar ríkisins 62 Ríkisaðilar utan A-hluta ríkissjóðs 180,180.0,2014,nan,0.18
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,,=== PAGE 6 ===,6.0,2014,nan,0.006
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,,=== PAGE 7 ===,7.0,2014,nan,0.007
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,INNGANGSORÐ FJÁRMÁLA- OG EFNAHAGSRÁÐHERRA,"kaupmætti og hallalausum ríkisrekstri. Töluverður hagvöxtur hefur verið undanfarin ár og nam hann 1,9% árið 2014. Mikil umsvif voru í",1.9,2014,nan,0.0019
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,jákvæð áhrif á afkomu ríkissjóðs.,"Ríkisreikningur fyrir árið 2014 liggur nú fyrir og eru helstu niðurstöður hans að tekjujöfnuður ársins var jákvæður um 46,4 ma.kr. sem er betri",46.4,2014,nan,0.0464
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,jákvæð áhrif á afkomu ríkissjóðs.,"gjaldfærslum síðar. Frumjöfnuður ársins var jákvæður um sem nemur 5,3% af landsframleiðslu samanborið við 3,0% árið 2013. Á árinu 2014",3.0,2014,nan,0.003
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,jákvæð áhrif á afkomu ríkissjóðs.,"var ríkissjóður með hreinan lánsfjárafgang sem nam um 4% af landsframleiðslu, samanborið við 1,6% lánsfjárþörf árið áður. Þetta var hagstæðari",1.6,2014,nan,0.0016
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,jákvæð áhrif á afkomu ríkissjóðs.,"niðurstaða en gert hafði verið ráð fyrir. Í fjárlögum var hrein lánsfjárþörf áætluð um 0,9% af vergri landsframleiðslu en um 2% lánsfjárafgangur í",2.0,2014,nan,0.002
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,jana Srudilbur,=== PAGE 8 ===,8.0,2014,nan,0.008
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,jana Srudilbur,=== PAGE 9 ===,9.0,2014,nan,0.009
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2014,Ríkisreikningur er settur fram í samræmi við lög nr. 88/1997 um Umsvifin í hagkerfinu voru því mikil en þau fólust að stórum hluta í,88.0,2014,nan,0.088
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2014,"miklu leyti mið af framsetningu ársreikninga fyrirtækja eftir því sem 6,4% af landsframleiðslu samanborið við 8,2% afgang árið á",8.2,2014,nan,0.008199999999999999
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2014,"við á og innan marka laganna um fjárreiður ríkisins. undan. Viðskiptakjör bötnuðu um 1,9% á árinu 2014 einkum vegna",1.9,2014,nan,0.0019
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2014,"a) Ríkisreikningur 2014 — Heildaryfirlit þar sem sýnd er afkoma mun meira en nam hagvexti ársins eða um 3,3%.",3.3,2014,nan,0.0033
