Ministry,Subcategory,LineItem,Amount_thousands_ISK,Year,normalized_category
,,=== PAGE 1 ===,1.0,2010,
,,VEGMÚLA 3 * 150 REYKJAVÍK RÍKISINS,150.0,2010,
,,SÍMI 545 7500 * FAX 562 6383,562.0,2010,
,,=== PAGE 2 ===,2.0,2010,
,,=== PAGE 3 ===,3.0,2010,
,,=== PAGE 4 ===,4.0,2010,
,,ISBN 9979-890-32-0,0.0,2010,
,,=== PAGE 5 ===,5.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,Uppgjör og afkoma ríkissjóðs 2010 7 39. Fjármagnskostnaður 75,75.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,Áritun fjármálaráðherra og fjársýslustjóra 17 40. Hlutabréf og eignarhlutir í fyrirtækjum 76,76.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,Áritun ríkisendurskoðanda 19 41. Erlent stofnfé 78,78.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,Yfirlitsreikningur A-hluta ríkissjóðs 21 42. Veitt löng lán 79,79.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,Rekstrarreikningur 22 43. Vöru- og efnisbirgðir 79,79.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,Efnahagsreikningur 23 44. Óinnheimtar ríkistekjur 80,80.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,"Sjóðstreymi 24 45. Skammtímakröfur, aðrar 80",80.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,"46. Handbært fé, nettó 81",81.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,Skýringar með reikningi A-hluta ríkissjóðs 25 47. Eigið fé 81,81.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,48. Lífeyrisskuldbindingar 84,84.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,1. Ríkisreikningur og reikningsskilareglur ríkisaðila 27 49. Tekin löng lán 86,86.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,2. Tekjujöfnuður og lánsfjárþörf A-hluta ríkissjóðs 30 50. Krafa á ríkistekjur 87,87.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,3. Tekjur A-hluta ríkissjóðs 31 51. Ógreidd gjöld (án vaxta) 88,88.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,"4. Skattar á tekjur og hagnað, einstaklingar 34 52. Áfallnir ógjaldfallnir vextir, skammtímaskuldir 88",88.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,"5. Skattar á tekjur og hagnað, lögaðilar 35 53. Tekin stutt lán 89",89.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,6. Skattur á fjármagnstekjur 35 54. Aðrar skammtímaskuldir 89,89.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,7. Skattar á launagreiðslur og vinnuafl 36,36.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,8. Eignarskattar 37 Séryfirlit A-hluta ríkissjóðs 91,91.0,2010,
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 74,,9. Virðisaukaskattur 38,38.0,2010,
